Stkcd,Accper,TTM,ROCA,ROE
600030,2007/3/31,0.025059,0.019786,0.05759
600030,2007/6/30,0.060558,0.043965,0.302297
600030,2007/6/30,0.053153,0.041232,0.152077
600030,2007/9/30,0.09384,0.068537,0.297175
600030,2007/9/30,0.088239,0.07062,0.173388
600030,2007/12/31,0.156989,0.106839,0.399055
600030,2007/12/31,0.167081,0.12714,0.283864
600030,2008/3/31,0.017473,0.01351,0.050781
600030,2008/3/31,0.015882,0.012508,0.029146
600030,2008/6/30,0.030851,0.024438,0.095751
600030,2008/6/30,0.04543,0.039593,0.090022
600030,2008/9/30,0.047848,0.037834,0.118077
600030,2008/9/30,0.067324,0.059121,0.113402
600030,2008/12/31,0.058561,0.049306,0.144334
600030,2008/12/31,0.046032,0.06778,0.129116
600030,2009/3/31,0.016182,0.012242,0.029345
600030,2009/3/31,0.00927,0.007172,0.011835
600030,2009/6/30,0.040787,0.03072,0.074261
600030,2009/6/30,0.047846,0.040703,0.069067
600030,2009/9/30,0.059384,0.044956,0.120414
600030,2009/9/30,0.063497,0.052841,0.091749
600030,2009/12/31,0.077406,0.058704,0.16492
600030,2009/12/31,0.081176,0.066438,0.121595
600030,2010/3/31,0.009811,0.007714,0.024719
600030,2010/3/31,0.005689,0.004744,0.009523
600030,2010/6/30,0.020498,0.015727,0.047522
600030,2010/6/30,0.019747,0.017863,0.033289
600030,2010/9/30,0.03165,0.024211,0.069893
600030,2010/9/30,0.041096,0.036923,0.065064
600030,2010/12/31,0.09067,0.067425,0.178916
600030,2010/12/31,0.13546,0.111328,0.20729
600030,2011/3/31,0.012074,0.009247,0.018993
600030,2011/3/31,0.008965,0.007136,0.012302
600030,2011/6/30,0.028046,0.020932,0.042945
600030,2011/6/30,0.023097,0.018801,0.032654
600030,2011/9/30,0.033065,0.024444,0.048791
600030,2011/9/30,0.03263,0.027774,0.046833
600030,2011/12/31,0.099722,0.083624,0.159714
600030,2011/12/31,0.080417,0.065792,0.108814
600030,2012/3/31,0.007561,0.005804,0.009888
600030,2012/3/31,0.007722,0.005976,0.009319
600030,2012/6/30,0.019524,0.015107,0.026209
600030,2012/6/30,0.020594,0.016079,0.02578
600030,2012/9/30,0.025264,0.019553,0.033962
600030,2012/9/30,0.026641,0.020745,0.033254
600030,2012/12/31,0.034643,0.02719,0.049596
600030,2012/12/31,0.032662,0.025599,0.042779
600030,2013/3/31,0.007485,0.005612,0.01154
600030,2013/3/31,0.007113,0.005323,0.010227
600030,2013/6/30,0.01478,0.011485,0.024651
600030,2013/6/30,0.01285,0.010031,0.020048
600030,2013/9/30,0.021668,0.017064,0.042532
600030,2013/9/30,0.019968,0.015829,0.034129
600030,2013/12/31,0.031128,0.024135,0.060289
600030,2013/12/31,0.023092,0.018004,0.040321
600030,2014/3/31,0.00643,0.004838,0.015921
600030,2014/3/31,0.004436,0.003306,0.009623
600030,2014/6/30,0.019061,0.014183,0.047926
600030,2014/6/30,0.017671,0.013399,0.040297
600030,2014/9/30,0.027958,0.020856,0.073342
600030,2014/9/30,0.024279,0.018499,0.057546
600030,2014/12/31,0.041071,0.031589,0.124508
600030,2014/12/31,0.031517,0.024405,0.087859
600030,2015/3/31,0.009919,0.007519,0.038019
600030,2015/3/31,0.009216,0.006974,0.032382
600030,2015/6/30,0.026972,0.020304,0.108963
600030,2015/6/30,0.025398,0.019253,0.093978
600030,2015/9/30,0.039252,0.029183,0.138095
600030,2015/9/30,0.042197,0.031748,0.142255
600030,2015/12/31,0.049806,0.037163,0.167666
600030,2015/12/31,0.04796,0.036268,0.154933
600030,2016/3/31,0.004019,0.002983,0.012629
600030,2016/3/31,0.002968,0.002215,0.008897
600030,2016/6/30,0.012359,0.009264,0.039145
600030,2016/6/30,0.010257,0.007704,0.030671
600030,2016/9/30,0.018883,0.014351,0.058788
600030,2016/9/30,0.016613,0.013022,0.049823
600030,2016/12/31,0.023506,0.018098,0.076384
600030,2016/12/31,0.020421,0.016084,0.064022
600030,2017/3/31,0.005304,0.00398,0.016505
600030,2017/3/31,0.004849,0.00364,0.013809
600030,2017/6/30,0.011362,0.008614,0.035398
600030,2017/6/30,0.009688,0.007331,0.027562
600030,2017/9/30,0.017761,0.013567,0.056283
600030,2017/9/30,0.015721,0.011953,0.04539
600030,2017/12/31,0.026449,0.019587,0.080135
600030,2017/12/31,0.0241,0.018718,0.071246
600030,2018/3/31,0.005671,0.004354,0.018153
600030,2018/3/31,0.005112,0.003868,0.01465
600030,2018/6/30,0.011524,0.009075,0.037983
600030,2018/6/30,0.01086,0.008435,0.032107
600030,2018/9/30,0.015547,0.012394,0.049645
600030,2018/9/30,0.015791,0.012197,0.044513
600030,2018/12/31,0.019497,0.015448,0.063724
600030,2018/12/31,0.020993,0.01706,0.066061
600030,2019/3/31,0.008651,0.006569,0.027358
600030,2019/3/31,0.007866,0.006032,0.023109
600030,2019/6/30,0.012974,0.009679,0.042102
600030,2019/6/30,0.01159,0.008898,0.036666
600030,2019/9/30,0.020905,0.0157,0.067712
600030,2019/9/30,0.018116,0.013907,0.055989
600030,2019/12/31,0.023524,0.017508,0.078493
600030,2019/12/31,0.026356,0.021345,0.090345
600030,2020/3/31,0.006456,0.004928,0.024366
600030,2020/3/31,0.006552,0.005118,0.023198
600030,2020/6/30,0.013441,0.010437,0.053381
600030,2020/6/30,0.011941,0.0093,0.04434
600030,2020/9/30,0.018499,0.014285,0.075092
600030,2020/9/30,0.019445,0.016121,0.0779
600030,2020/12/31,0.022194,0.016823,0.08833
600030,2020/12/31,0.021573,0.017867,0.086532
600030,2021/3/31,0.006216,0.004854,0.028437
600030,2021/3/31,0.005628,0.004503,0.023834
600030,2021/6/30,0.014663,0.011336,0.066732
600030,2021/6/30,0.013439,0.01047,0.055791
600030,2021/9/30,0.021044,0.016153,0.092833
600030,2021/12/31,0.027358,0.020591,0.120118
600030,2021/12/31,0.02623,0.020318,0.107297
600030,2022/3/31,0.005362,0.004104,0.023431
600030,2022/3/31,0.006256,0.004956,0.025163
600030,2022/6/30,0.011485,0.008659,0.05034
600030,2022/6/30,0.012278,0.009477,0.04861
600030,2022/9/30,0.017297,0.013159,0.073558
600030,2022/9/30,0.018264,0.014218,0.069944
600030,2022/12/31,0.022382,0.017139,0.0939
600030,2022/12/31,0.022035,0.017096,0.082693
600030,2023/3/31,0.005338,0.004097,0.02159
600030,2023/3/31,0.006138,0.004882,0.022277
600030,2023/6/30,0.011042,0.008595,0.045093
600030,2023/6/30,0.010876,0.008673,0.039232
600030,2023/9/30,0.016039,0.012544,0.064895
600030,2023/9/30,0.01452,0.011608,0.052636
600030,2023/12/31,0.018961,0.014873,0.077133
600030,2023/12/31,0.016997,0.013555,0.061787
600030,2024/3/31,0.004391,0.003418,0.018433
600030,2024/3/31,0.004837,0.003974,0.019132
600030,2024/6/30,0.009464,0.007449,0.039314
600030,2024/6/30,0.010283,0.008342,0.038857
600030,2024/9/30,0.013767,0.010958,0.061646
600030,2024/9/30,0.01314,0.010788,0.051921
600030,2024/12/31,0.017963,0.014279,0.078851
600030,2024/12/31,0.014821,0.012253,0.059284
600030,2025/3/31,0.004741,0.003864,0.022298
600030,2025/3/31,0.005532,0.004915,0.02407
600030,2025/6/30,0.010087,0.008041,0.046405
600030,2025/6/30,0.010838,0.009221,0.044964
600048,2007/3/31,0.007072,0.004188,0.018215
600048,2007/3/31,0.011691,0.007771,0.016199
600048,2007/6/30,0.026581,0.015853,0.071788
600048,2007/6/30,0.036533,0.024158,0.051057
600048,2007/9/30,0.034838,0.021839,0.074828
600048,2007/9/30,0.032404,0.021898,0.038715
600048,2007/12/31,0.082615,0.056732,0.193234
600048,2007/12/31,0.03478,0.024853,0.047158
600048,2008/3/31,0.00941,0.006864,0.023126
600048,2008/3/31,0.002239,0.001797,0.003514
600048,2008/6/30,0.040982,0.032427,0.106221
600048,2008/6/30,0.007361,0.006805,0.013529
600048,2008/9/30,0.04744,0.037038,0.129105
600048,2008/9/30,0.014016,0.012466,0.026828
600048,2008/12/31,0.084422,0.064398,0.213534
600048,2008/12/31,0.021398,0.019947,0.041202
600048,2009/3/31,0.009072,0.006522,0.022764
600048,2009/3/31,0.013521,0.010434,0.023311
600048,2009/6/30,0.034868,0.02587,0.092124
600048,2009/6/30,0.052768,0.044259,0.095777
600048,2009/9/30,0.039001,0.029016,0.095167
600048,2009/9/30,0.049039,0.040934,0.075069
