Stkcd,Accper,bes
600754,2016/6/30,0.3718
600754,2016/9/30,0.603
600754,2016/12/31,0.7998
600754,2017/3/31,0.2078
600754,2017/6/30,0.4306
600754,2017/9/30,0.743
600754,2017/12/31,0.9205
600754,2018/3/31,0.2406
600754,2018/6/30,0.5255
600754,2018/9/30,0.9102
600754,2018/12/31,1.13
600754,2019/3/31,0.3083
600754,2019/6/30,0.5927
600754,2019/9/30,0.9116
600754,2019/12/31,1.1405
600754,2020/3/31,0.178
600754,2020/6/30,0.2978
600754,2020/9/30,0.3141
600754,2020/12/31,0.1151
600754,2021/3/31,-0.1836
600754,2021/6/30,0.0046
600754,2021/9/30,0.0937
600754,2021/12/31,0.0966
600754,2022/3/31,-0.1122
600754,2022/6/30,-0.1102
600754,2022/9/30,0.0392
600754,2022/12/31,0.1061
600754,2023/3/31,0.1217
600754,2023/6/30,0.4889
600754,2023/9/30,0.9112
600754,2023/12/31,0.9362
600754,2024/3/31,0.1775
600754,2024/6/30,0.7921
600754,2024/9/30,1.0341
600754,2024/12/31,0.8535
600754,2025/3/31,0.0337
600754,2025/6/30,0.35
601390,2007/12/31,0.24
601390,2008/3/31,0.02
601390,2008/6/30,0.09
601390,2008/9/30,0.06
601390,2008/12/31,0.05
601390,2009/3/31,0.05
601390,2009/6/30,0.14
601390,2009/9/30,0.23
601390,2009/12/31,0.32
601390,2010/3/31,0.08
601390,2010/6/30,0.15
601390,2010/9/30,0.25
601390,2010/12/31,0.35
601390,2011/3/31,0.08
601390,2011/6/30,0.12
601390,2011/9/30,0.17
601390,2011/12/31,0.31
601390,2012/3/31,0.04
601390,2012/6/30,0.112
601390,2012/9/30,0.2
601390,2012/12/31,0.345
601390,2013/3/31,0.07
601390,2013/6/30,0.164
601390,2013/9/30,0.29
601390,2013/12/31,0.44
601390,2014/3/31,0.09
601390,2014/6/30,0.191
601390,2014/9/30,0.33
601390,2014/12/31,0.482
601390,2015/3/31,0.1
601390,2015/6/30,0.215
601390,2015/9/30,0.344
