Stkcd,Accper,Source,CR,CaR,DER,DAR
600048,2025/3/31,0,1.66256,0.209222,2.854364,0.740554
600048,2025/6/30,0,1.657915,0.199951,2.77749,0.735274
600754,1998/6/30,0,1.083095,0.37712,0.601516,0.375592
600754,1998/12/31,0,0.96439,0.302044,0.562076,0.359826
600754,1999/12/31,0,1.3631,0.429794,0.575594,0.365319
600754,2000/6/30,0,1.10972,0.616049,0.377652,0.274127
600754,2000/12/31,0,1.174652,0.909826,0.501807,0.334135
600754,2001/6/30,0,2.308387,1.977439,0.299462,0.230451
600754,2001/12/31,0,2.10031,1.552122,0.292957,0.226579
600754,2002/6/30,0,1.797333,1.150373,0.241687,0.194644
600754,2002/12/31,0,1.232797,0.561707,0.433259,0.302289
600754,2003/3/31,0,1.264675,0.755597,0.393506,0.282385
600754,2003/6/30,0,1.195143,0.805615,0.362539,0.266076
600754,2003/12/31,0,1.682729,1.218532,0.28293,0.220534
600754,2004/3/31,0,2.085021,0.927879,0.206213,0.170959
600754,2004/6/30,0,2.09277,0.73575,0.225041,0.183701
600754,2004/9/30,0,2.198363,0.921115,0.209981,0.173541
600754,2004/12/31,0,2.622583,0.872273,0.166912,0.143038
600754,2005/3/31,0,3.078803,2.496967,0.157123,0.135787
600754,2005/6/30,0,2.436117,2.019405,0.209009,0.172876
600754,2005/9/30,0,2.436327,2.047298,0.209699,0.173348
600754,2005/12/31,0,2.430983,2.083204,0.211974,0.1749
600754,2006/3/31,0,2.067387,1.65157,0.287072,0.223043
600754,2006/6/30,0,2.501046,2.005995,0.210113,0.173631
600754,2006/9/30,0,2.393215,2.034597,0.205523,0.170485
600754,2006/12/31,0,2.363439,2.104387,0.195463,0.163504
600754,2007/3/31,0,3.447582,2.725527,0.109971,0.099075
600754,2007/6/30,0,2.719113,2.114917,0.123277,0.109748
600754,2007/9/30,0,2.946758,2.545834,0.111229,0.100095
600754,2007/12/31,0,2.959421,2.615516,0.240031,0.193568
600754,2008/3/31,0,3.811217,3.056983,0.187571,0.157945
600754,2008/6/30,0,3.208852,2.402739,0.195928,0.16383
600754,2008/9/30,0,3.459005,2.97637,0.188154,0.158358
